sp_Object,sp_Property,sp_Reference,sp_Type,sp_Format,sp_Nullable,sp_Reqd,sp_Enum,sp_Props
"""Invoice_Update_Model""","""invoice_date""","""""",String,"""date-time""",1,[],[],fromList []
"""Invoice_Update_Model""","""client_id""","""""",String,"""uuid""",0,[],[],fromList []
"""Invoice_Update_Model""","""abn_is_active""","""""",Boolean,"""""",1,[],[],fromList []
"""Invoice_Update_Model""","""last_date_and_time_submitted_for_claim""","""""",String,"""date-time""",1,[],[],fromList []
"""Invoice_Update_Model""","""date_and_time_authorised""","""""",String,"""date-time""",1,[],[],fromList []
"""Invoice_Update_Model""","""invoice_total""","""""",Number,"""double""",1,[],[],fromList []
"""Invoice_Update_Model""","""vendor_id""","""""",String,"""uuid""",0,[],[],fromList []
"""Invoice_Update_Model""","""crm_notes""","""""",String,"""""",1,[],[],fromList []
"""Invoice_Update_Model""","""id""","""""",String,"""uuid""",0,[],[],fromList []
"""Invoice_Update_Model""","""tagIds""","""""",Array,"""""",1,[],[],fromList []
"""Invoice_Update_Model""","""invoice_number""","""""",String,"""""",1,[],[],fromList []
"""Invoice_Update_Model""","""date_paid""","""""",String,"""date-time""",1,[],[],fromList []
"""Invoice_Update_Model""","""abn_not_available""","""""",Boolean,"""""",1,[],[],fromList []
"""Invoice_Update_Model""","""vendor_type""","""VendorType""",Null,"""""",0,[],[],fromList []
"""Invoice_Update_Model""","""abn_on_receipt""","""""",String,"""""",1,[],[],fromList []
"""Invoice_Update_Model""","""authorised_by""","""""",String,"""""",1,[],[],fromList []
"""Invoice_Update_Model""","""abn_not_available_reason""","""ABNNotAvailableReasonType""",Null,"""""",0,[],[],fromList []
"""Invoice_Update_Model""","""notes""","""""",String,"""""",1,[],[],fromList []
"""UnCheckedInvoice_Model""","""payment_batch_checking_record_ids""","""""",Array,"""""",1,[],[],fromList []
"""UnCheckedInvoice_Model""","""payment_batch_id""","""""",String,"""uuid""",0,[],[],fromList []
"""UnCheckedInvoice_Model""","""payment_batch_name""","""""",String,"""""",1,[],[],fromList []
"""Staff_Ip_Access_Setting_Add_Model""","""ip""","""""",String,"""""",1,[],[],fromList []
"""Staff_Ip_Access_Setting_Add_Model""","""staff_id""","""""",String,"""uuid""",0,[],[],fromList []
"""Staff_Ip_Access_Setting_Add_Model""","""name""","""""",String,"""""",1,[],[],fromList []
"""ManualClaimModel""","""paidAmount""","""""",Number,"""double""",0,[],[],fromList []
"""ManualClaimModel""","""paymentRequestNumber""","""""",String,"""""",1,[],[],fromList []
"""InvoiceDocument_Add_Model_For_Vendor""","""temp_file_id""","""""",String,"""""",1,[],[],fromList []
"""InvoiceDocument_Add_Model_For_Vendor""","""file_name""","""""",String,"""""",1,[],[],fromList []
"""InvoiceDocument_Add_Model_For_Vendor""","""invoice_id""","""""",String,"""uuid""",0,[],[],fromList []
"""SystemSupportLimitation_Update_GroupItem""","""ndis_support_item_id""","""""",String,"""uuid""",0,[],[],fromList []
"""SystemSupportLimitation_Add_Group""","""spend_limit""","""""",Number,"""double""",0,[],[],fromList []
"""SystemSupportLimitation_Add_Group""","""group_name""","""""",String,"""""",1,[],[],fromList []
