schemaObjectKey,schemaObjectType,schemaObjectFormat,schemaObjectNullable,schemaObjectPropertyNames,schemaObjectPropertyCount,schemaObjectPropertyRefCount,schemaObjectPropertyInlineCount,compschemaRequired,compschemaEnum,compsMaybeBool,compschemaAllOf,compschemaAnyOf,compschemaOneOf,compschemaDeprecated,compschemaExclusiveMaximum,compschemaExclusiveMinimum,compschemaReadOnly,compschemaUniqueItems,compschemaWriteOnly,compschemaMaxItems,compschemaMaxLength,compschemaMaxProperties,compschemaMinItems,compschemaMinLength,compschemaMinProperties,compschemaPattern,compschemaDescription,compschemaTitle,compschemaDefault,compschemaExample,compschemaNot,compschemaAdditionalProperties,compschemaDiscriminator,compschemaExternalDocs,compschemaItems,compschemaXml,compschemaMaximum,compschemaMinimum,compschemaMultipleOf
"""Invoice_Update_Model""",OpenApiObject,"""""",0,"[""invoice_date"",""client_id"",""abn_is_active"",""last_date_and_time_submitted_for_claim"",""date_and_time_authorised"",""invoice_total"",""vendor_id"",""crm_notes"",""id"",""tagIds"",""invoice_number"",""date_paid"",""abn_not_available"",""vendor_type"",""abn_on_receipt"",""authorised_by"",""abn_not_available_reason"",""notes""]",18,2,16,[],[],0,[],[],[],0,0,0,0,0,0,0,0,0,0,0,0,"""""","""""","""""",Null,Null,,,,,,,,,
"""UnCheckedInvoice_Model""",OpenApiObject,"""""",0,"[""payment_batch_checking_record_ids"",""payment_batch_id"",""payment_batch_name""]",3,0,3,[],[],0,[],[],[],0,0,0,0,0,0,0,0,0,0,0,0,"""""","""""","""""",Null,Null,,,,,,,,,
"""SupportCoordinatorJoinClient_QueryOrderByType""",OpenApiInteger,"""int32""",0,[],0,0,0,[],"[""0"",""1""]",1,[],[],[],0,0,0,0,0,0,0,0,0,0,0,0,"""""","""""","""""",Null,Null,,,,,,,,,
"""Staff_Ip_Access_Setting_Add_Model""",OpenApiObject,"""""",0,"[""ip"",""staff_id"",""name""]",3,0,3,[],[],0,[],[],[],0,0,0,0,0,0,0,0,0,0,0,0,"""""","""""","""""",Null,Null,,,,,,,,,
"""ManualClaimModel""",OpenApiObject,"""""",0,"[""paidAmount"",""paymentRequestNumber""]",2,0,2,[],[],0,[],[],[],0,0,0,0,0,0,0,0,0,0,0,0,"""""","""""","""""",Null,Null,,,,,,,,,
"""Vendor_QueryOrderByType""",OpenApiInteger,"""int32""",0,[],0,0,0,[],"[""0"",""1"",""2"",""3""]",0,[],[],[],0,0,0,0,0,0,0,0,0,0,0,0,"""""","""""","""""",Null,Null,,,,,,,,,
"""PreferenceParticipantEmail_QueryOrderByType""",OpenApiInteger,"""int32""",0,[],0,0,0,[],"[""0"",""1""]",1,[],[],[],0,0,0,0,0,0,0,0,0,0,0,0,"""""","""""","""""",Null,Null,,,,,,,,,
"""OpenMethodType""",OpenApiInteger,"""int32""",0,[],0,0,0,[],"[""0"",""1"",""2""]",0,[],[],[],0,0,0,0,0,0,0,0,0,0,0,0,"""""","""""","""""",Null,Null,,,,,,,,,
"""InvoiceDocument_Add_Model_For_Vendor""",OpenApiObject,"""""",0,"[""temp_file_id"",""file_name"",""invoice_id""]",3,0,3,[],[],0,[],[],[],0,0,0,0,0,0,0,0,0,0,0,0,"""""","""""","""""",Null,Null,,,,,,,,,
"""SystemSupportLimitation_Update_GroupItem""",OpenApiObject,"""""",0,"[""ndis_support_item_id""]",1,0,1,[],[],0,[],[],[],0,0,0,0,0,0,0,0,0,0,0,0,"""""","""""","""""",Null,Null,,,,,,,,,
"""NDISSupportItemUnitOfMeasureType""",OpenApiInteger,"""int32""",0,[],0,0,0,[],"[""10"",""11"",""12"",""13"",""14"",""20""]",0,[],[],[],0,0,0,0,0,0,0,0,0,0,0,0,"""""","""""","""""",Null,Null,,,,,,,,,
"""SystemSupportLimitation_Add_Group""",OpenApiObject,"""""",0,"[""spend_limit"",""group_name"",""limit_type""]",3,1,2,[],[],0,[],[],[],0,0,0,0,0,0,0,0,0,0,0,0,"""""","""""","""""",Null,Null,,,,,,,,,
"""ResendStaffCodeModel""",OpenApiObject,"""""",0,"[""staffId""]",1,0,1,[],[],0,[],[],[],0,0,0,0,0,0,0,0,0,0,0,0,"""""","""""","""""",Null,Null,,,,,,,,,
"""SuspenseItemType""",OpenApiInteger,"""int32""",0,[],0,0,0,[],"[""0"",""1""]",1,[],[],[],0,0,0,0,0,0,0,0,0,0,0,0,"""""","""""","""""",Null,Null,,,,,,,,,
"""ClientStatementPreference_UpdateModel""",OpenApiObject,"""""",0,"[""client_id"",""funding_balance"",""payment_activity"",""invoice_in_queue"",""payment_activity_details""]",5,0,5,[],[],0,[],[],[],0,0,0,0,0,0,0,0,0,0,0,0,"""""","""""","""""",Null,Null,,,,,,,,,
"""BulkPhone_VoiceMail_UpdateStatus""",OpenApiObject,"""""",0,"[""status"",""ids""]",2,1,1,[],[],0,[],[],[],0,0,0,0,0,0,0,0,0,0,0,0,"""""","""""","""""",Null,Null,,,,,,,,,
"""Phone_VoiceMail_AppendNoteAndTag""",OpenApiObject,"""""",0,"[""status"",""id"",""tagIds"",""note""]",4,1,3,[],[],0,[],[],[],0,0,0,0,0,0,0,0,0,0,0,0,"""""","""""","""""",Null,Null,,,,,,,,,
"""ClientPlanSupportArea_QueryOrderByType""",OpenApiInteger,"""int32""",0,[],0,0,0,[],"[""0"",""1"",""2""]",0,[],[],[],0,0,0,0,0,0,0,0,0,0,0,0,"""""","""""","""""",Null,Null,,,,,,,,,
"""Import_Other_Provider_Clients_Model""",OpenApiObject,"""""",0,"[""file_path"",""provider""]",2,1,1,[],[],0,[],[],[],0,0,0,0,0,0,0,0,0,0,0,0,"""""","""""","""""",Null,Null,,,,,,,,,
"""CRMSCNote_QueryOrderByType""",OpenApiInteger,"""int32""",0,[],0,0,0,[],"[""0"",""1"",""2""]",0,[],[],[],0,0,0,0,0,0,0,0,0,0,0,0,"""""","""""","""""",Null,Null,,,,,,,,,
"""Reconciliation_Update_Model""",OpenApiObject,"""""",0,"[""reconciliation_date"",""bankBalance"",""start_date"",""cancelled_invoiceitems"",""other_funds"",""id"",""gatewayBalance"",""miscAdjustment_Items"",""claim_ids"",""is_closed"",""gatewayBalanceNoRefund"",""ndis_funds"",""payment_batch_ids"",""notes"",""end_date""]",15,0,15,[],[],0,[],[],[],0,0,0,0,0,0,0,0,0,0,0,0,"""""","""""","""""",Null,Null,,,,,,,,,
"""PaymentBatchItem_QueryOrderByType""",OpenApiInteger,"""int32""",0,[],0,0,0,[],"[""0"",""1""]",1,[],[],[],0,0,0,0,0,0,0,0,0,0,0,0,"""""","""""","""""",Null,Null,,,,,,,,,
"""ReconciliationClaim_ListParameter""",OpenApiObject,"""""",0,"[""reconciliation_date"",""start_date"",""months_cover"",""claim_ids"",""end_date""]",5,0,5,[],[],0,[],[],[],0,0,0,0,0,0,0,0,0,0,0,0,"""""","""""","""""",Null,Null,,,,,,,,,
"""ClientApplicationSupportArea_Update_Model""",OpenApiObject,"""""",0,"[""amount"",""application_id"",""management_type"",""ndis_support_area_id""]",4,1,3,[],[],0,[],[],[],0,0,0,0,0,0,0,0,0,0,0,0,"""""","""""","""""",Null,Null,,,,,,,,,
"""MailGuardQueryModel""",OpenApiObject,"""""",0,"[""maxPerDay"",""status"",""account"",""port"",""password"",""serverAddress""]",6,0,6,[],[],0,[],[],[],0,0,0,0,0,0,0,0,0,0,0,0,"""""","""""","""""",Null,Null,,,,,,,,,
"""AddHighRiskSupportItemModel""",OpenApiObject,"""""",0,"[""ndiS_Support_Item_Id"",""warning""]",2,0,2,"[""ndiS_Support_Item_Id"",""warning""]",[],0,[],[],[],0,0,0,0,0,0,0,0,0,0,0,0,"""""","""""","""""",Null,Null,,,,,,,,,
"""PreferenceClientEmail_Add_Model""",OpenApiObject,"""""",0,"[""plan_ending_reminder_90_days"",""standing_authority_ending_reminder_7_day"",""plan_ending_reminder_60_days"",""invoice_authorisation_request"",""plan_ending_reminder_30_days"",""standing_authority_applied"",""new_standing_authority_created"",""invoice_has_been_processed""]",8,0,8,[],[],0,[],[],[],0,0,0,0,0,0,0,0,0,0,0,0,"""""","""""","""""",Null,Null,,,,,,,,,
"""Tag_Add_Model""",OpenApiObject,"""""",0,"[""linkVoiceMail"",""description"",""tag_Name"",""is_Active"",""emailConnectorIds"",""staffId"",""color""]",7,0,7,[],[],0,[],[],[],0,0,0,0,0,0,0,0,0,0,0,0,"""""","""""","""""",Null,Null,,,,,,,,,
"""AddSuspenseItemModel""",OpenApiObject,"""""",0,"[""amount"",""date"",""reconciliationId"",""description"",""type""]",5,1,4,[],[],0,[],[],[],0,0,0,0,0,0,0,0,0,0,0,0,"""""","""""","""""",Null,Null,,,,,,,,,
"""ClientAttachment_QueryOrderByType""",OpenApiInteger,"""int32""",0,[],0,0,0,[],"[""0"",""1""]",1,[],[],[],0,0,0,0,0,0,0,0,0,0,0,0,"""""","""""","""""",Null,Null,,,,,,,,,
"""Claim_Create_Model""",OpenApiObject,"""""",0,"[""invoice_item_ids""]",1,0,1,[],[],0,[],[],[],0,0,0,0,0,0,0,0,0,0,0,0,"""""","""""","""""",Null,Null,,,,,,,,,
"""StaffAccountStatusType""",OpenApiInteger,"""int32""",0,[],0,0,0,[],"[""0"",""1""]",1,[],[],[],0,0,0,0,0,0,0,0,0,0,0,0,"""""","""""","""""",Null,Null,,,,,,,,,
